Year,Team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKA,PKsv,PKm,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2019,Crystal Palace,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2.0,0.0,West Ham,2.2,0.5,75.0,62443.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,,2.0,13.0,1.0,7.7,0.08,1.0,18.7,1.0,1.0,1.0,1.4,0.11,-0.2,-0.4,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,1.0,4.0,25.0,5.0,10.5,25.0,11.0,1.0,9.1,3.0,21.8
2019,Crystal Palace,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,0.0,Bournemouth,1.7,0.1,67.0,53453.0,İlkay Gündoğan,4-2-3-1,David Coote,Match Report,,3.0,19.0,7.0,36.8,0.16,0.43,17.5,0.0,0.0,0.0,1.7,0.09,1.3,1.3,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.7,24.3,6.0,1.0,16.7,0.0,11.0
2019,Crystal Palace,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3.0,3.0,Newcastle Utd,2.1,1.8,69.0,52258.0,İlkay Gündoğan,4-3-3,Jarred Gillett,Match Report,,3.0,21.0,10.0,47.6,0.14,0.3,16.2,1.0,0.0,0.0,2.1,0.1,0.9,0.9,5.0,2.0,40.0,0.0,2.3,-0.7,0.0,0.0,0.0,3.0,7.0,42.9,13.0,17.1,28.4,9.0,1.0,11.1,1.0,12.0
2019,Crystal Palace,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4.0,2.0,Crystal Palace,2.2,0.1,74.0,53112.0,Kevin De Bruyne,4-2-3-1,Darren England,Match Report,,4.0,18.0,5.0,27.8,0.22,0.8,14.1,0.0,0.0,0.0,2.2,0.13,1.8,1.8,2.0,1.0,0.0,0.0,0.3,-0.7,0.0,0.0,0.0,1.0,1.0,100.0,3.0,4.5,24.4,4.0,1.0,25.0,1.0,17.3
2019,Crystal Palace,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6.0,0.0,Nott'ham Forest,3.3,0.7,74.0,53409.0,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,,6.0,17.0,9.0,52.9,0.35,0.67,14.8,0.0,0.0,0.0,3.3,0.2,2.7,2.7,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,1.0,5.0,20.0,1.0,12.9,29.8,6.0,0.0,0.0,4.0,22.0
2019,Crystal Palace,2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1.0,1.0,Aston Villa,2.1,0.3,71.0,41830.0,İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,,1.0,13.0,4.0,30.8,0.08,0.25,16.8,1.0,0.0,0.0,2.1,0.16,-1.1,-1.1,1.0,0.0,0.0,0.0,0.6,-0.4,0.0,0.0,0.0,2.0,5.0,40.0,1.0,16.1,26.5,7.0,0.0,0.0,0.0,9.5
2019,Crystal Palace,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4.0,0.0,es Sevilla,3.6,0.3,61.0,38764.0,Kevin De Bruyne,4-3-3,Davide Massa,Match Report,,4.0,24.0,9.0,37.5,0.17,0.44,16.9,1.0,0.0,0.0,3.6,0.16,0.4,0.4,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,4.0,7.0,57.1,1.0,21.7,29.5,8.0,0.0,0.0,0.0,18.0
2019,Crystal Palace,2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,de Dortmund,1.0,0.7,66.0,50441.0,İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,,2.0,12.0,3.0,25.0,0.17,0.67,17.3,0.0,0.0,0.0,1.0,0.08,1.0,1.0,2.0,1.0,50.0,0.0,0.5,-0.5,0.0,0.0,0.0,1.0,5.0,20.0,4.0,12.5,25.0,7.0,0.0,0.0,1.0,37.0
2019,Crystal Palace,2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3.0,0.0,Wolves,1.1,0.4,59.0,31578.0,Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,,3.0,16.0,7.0,43.8,0.19,0.43,19.4,0.0,0.0,0.0,1.1,0.07,1.9,1.9,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,1.0,3.0,33.3,4.0,7.7,24.2,7.0,1.0,14.3,2.0,15.5
2019,Crystal Palace,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6.0,3.0,Manchester Utd,3.2,1.7,53.0,53475.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,,6.0,22.0,9.0,40.9,0.27,0.67,14.2,1.0,0.0,0.0,3.2,0.15,2.8,2.8,8.0,5.0,75.0,0.0,2.9,-0.1,1.0,0.0,0.0,9.0,16.0,56.3,3.0,22.6,27.1,4.0,0.0,0.0,3.0,17.1
2019,Crystal Palace,2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,5.0,0.0,dk FC Copenhagen,4.3,0.4,75.0,51765.0,İlkay Gündoğan,4-4-2,Donatas Rumšas,Match Report,,4.0,29.0,15.0,51.7,0.1,0.2,19.2,1.0,1.0,1.0,3.5,0.13,-0.3,-0.5,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,4.0,25.8,27.6,4.0,0.0,0.0,0.0,
2019,Crystal Palace,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4.0,0.0,Southampton,2.4,0.2,65.0,53365.0,Kevin De Bruyne,4-2-3-1,Andy Madley,Match Report,,4.0,21.0,8.0,38.1,0.19,0.5,13.9,0.0,0.0,0.0,2.4,0.12,1.6,1.6,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,4.0,20.6,25.6,5.0,1.0,20.0,0.0,11.0
2019,Crystal Palace,2022-10-11,18:45,Champions Lg,Group stage,Tue,Away,D,0.0,0.0,dk FC Copenhagen,1.6,0.3,59.0,35447.0,İlkay Gündoğan,4-2-3-1,Artur Dias,Match Report,,0.0,13.0,3.0,23.1,0.0,0.0,21.7,0.0,0.0,1.0,0.9,0.07,-1.6,-0.9,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,4.0,12.0,33.3,6.0,25.8,29.8,8.0,1.0,12.5,2.0,17.0
2019,Crystal Palace,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Away,L,0.0,1.0,Liverpool,1.0,2.1,63.0,53286.0,İlkay Gündoğan,3-4-3,Anthony Taylor,Match Report,,0.0,16.0,6.0,37.5,0.0,0.0,18.4,0.0,0.0,0.0,1.0,0.06,-1.0,-1.0,2.0,1.0,50.0,0.0,0.7,-0.3,0.0,0.0,0.0,1.0,2.0,50.0,4.0,6.3,24.3,11.0,0.0,0.0,1.0,19.0
2019,Crystal Palace,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Home,W,3.0,1.0,Brighton,1.6,0.5,48.0,53223.0,Kevin De Bruyne,4-3-3,Craig Pawson,Match Report,,3.0,9.0,3.0,33.3,0.22,0.67,15.0,0.0,1.0,1.0,0.8,0.09,1.4,1.2,2.0,1.0,50.0,0.0,0.3,-0.7,0.0,0.0,0.0,4.0,20.0,20.0,5.0,31.9,33.4,13.0,2.0,15.4,4.0,18.5
